id,created_at,text
395157675773681664,2013-10-29 11:58:26,Article: http://t.co/M1JRVxCkYf
393670690605240320,2013-10-25 09:29:41,Video: http://t.co/gkSJrjiuQO
393307514550243328,2013-10-24 09:26:33,#WhiteGenocide #EuropeanParliament Video: http://t.co/Uk6gFviyyK
392397239047716864,2013-10-21 21:09:26,BNPtv interview @brunogollnisch MEP http://t.co/l7pBAfqYhb
392008463447900160,2013-10-20 19:24:35,Pictures from #Manchester meeting: http://t.co/PWpMcBWAoS
392003977279074304,2013-10-20 19:06:46,@brunogollnisch being interviewed for @bnp by Adam Walker at Manchester meeting. Video online shortly http://t.co/0hnWEpB1jv
392003551968251904,2013-10-20 19:05:04,Yesterday in #Manchester with @brunogollnisch and @bnp - Fantastic speech as always by Bruno. http://t.co/gP5jV4k1Xz
389810759212859392,2013-10-14 17:51:41,Article: http://t.co/tplFHugWPq
388026137672036352,2013-10-09 19:40:15,Article: http://t.co/YCTWC6NDfC
386150034473222144,2013-10-04 15:25:17,RT @nickgriffinmep: Help beat the MEDIA BLACKOUT – share this amazing video with all your friends and post on online forums - http://t.co/E…
385047196652957696,2013-10-01 14:23:00,Article: Speech by Dr Tom Sunic http://t.co/qEFuf1am6G
381074780306165761,2013-09-20 15:18:02,#warsaw2013 #climatechange Article: http://t.co/D7KsqmYN8m
380282692111060992,2013-09-18 10:50:33,#EuropeanParliament #NickGriffinMEP Article/Video: http://t.co/vHI0xdZ8Vx
379678395656720384,2013-09-16 18:49:18,Article: Lobby MEP's over #genocide of #WhiteEuropeans http://t.co/dSf7TcULX3
379655939726393344,2013-09-16 17:20:04,Article: #EU #Tolerance #Genocide http://t.co/xYVQTUQ9YV
378560023053762560,2013-09-13 16:45:17,RT @nickgriffinmep: This video blows away Obama's propaganda about needing to bomb Syria to save refugees. Really important. Please rt. htt…
377850446716473344,2013-09-11 17:45:41,#Syria #SyriaSpeech #NickGriffin #BrunoGollnisch http://t.co/Z4pTZjLuhw
375967575613534208,2013-09-06 13:03:49,Article: http://t.co/7QgYALw9CC
375677979298263040,2013-09-05 17:53:04,@AEMN_cy Cyfrifon 2012: http://t.co/1hAywJYeKl
375677734954864640,2013-09-05 17:52:06,2012 Accounts: http://t.co/ef2sEJPqpq
375634926843875328,2013-09-05 15:02:00,"RT @nickgriffinmep: Breaking news. Alliance of European National Movements 2012 accounts signed off as all true, correct &amp; fair by auditors…"
375562629952991233,2013-09-05 10:14:43,AEMN Training: http://t.co/8cgV8R1bTL
372771768332603392,2013-08-28 17:24:49,Pictures: http://t.co/PLyQ0aVwcm
372754032290312192,2013-08-28 16:14:21,http://t.co/ZIxQobRHio
366981294229438467,2013-08-12 17:55:33,Article: http://t.co/ArWxyZLZog
359374937418498048,2013-07-22 18:10:36,http://t.co/McsaW6lgc1
354948123942064129,2013-07-10 13:00:02,Article: http://t.co/IyXO2eKlXg
354609756301828096,2013-07-09 14:35:28,http://t.co/hbV3alYC1V
352751388142469121,2013-07-04 11:30:59,Belgian jihadists in Syria: http://t.co/Le9uW9DgGe
351999903901286400,2013-07-02 09:44:51,@nickgriffinmep speaks in Strasbourg EU Parliament on blowback violence from Syria: http://t.co/beyj1EZncR
349847959816515586,2013-06-26 11:13:48,"Don't miss out, get your free for postage leaflets now: http://t.co/jNBym9ebiO"
349843484334751744,2013-06-26 10:56:01,By their fruits ye shall know them: http://t.co/fC6qnM7tJO
347632361615261696,2013-06-20 08:29:48,"RT @nickgriffinmep: Nick Griffin meets suicide bomber 
http://t.co/BscldCu9gv  Please retweet."
347448869845614595,2013-06-19 20:20:40,"Syria first, Europe second: http://t.co/QyZ7kAQCCv"
345638231422930944,2013-06-14 20:25:50,RT @bnp: Islamic horror in Ashton-Under-Lyne â€“ Video http://t.co/JHc45Htqmq
345580330738126848,2013-06-14 16:35:46,http://t.co/I16dgNlyNX
345479783880196096,2013-06-14 09:56:13,RT @brunogollnisch: Video: Bruno Gollnisch denounces persecution against Julian Assange: http://t.co/Z3NKRaQQal #Assange #Wikileaks
341527307594391554,2013-06-03 12:10:30,Limited stock of our leaflets left. Order your NOW! http://t.co/A0Hbq87Nde
341251661848772609,2013-06-02 17:55:10,"RT @nickgriffinmep: Bilderberg conference this Thursday til Sunday. Grove Hotel, Watford.  Don't let banksters &amp; crooked globalist politici…"
337967076369108992,2013-05-24 16:23:24,Vibrant Diverse Rainbows: http://t.co/XuogfteLcS
337613533963489281,2013-05-23 16:58:33,RIP Drummer Lee Rigby of the 2nd Battalion Royal Regiment of Fusiliers. He leaves behind a 2 year old child.
336573518256930816,2013-05-20 20:05:54,Labour admits importing migrants to UK. Where else has it happened? http://t.co/W561KMQmbX
334358557392764929,2013-05-14 17:24:26,AEMN leaflets available now: http://t.co/LCWv2iLinT
332511182198038528,2013-05-09 15:03:38,"Sabotage, Treason and the enemy within http://t.co/UonikoDmcG"
332510807395033089,2013-05-09 15:02:08,European Persistance! http://t.co/STf1ahaQRh
331669522157281280,2013-05-07 07:19:10,Action packed meeting in Brussels http://t.co/lU6JPLmxD1
324859342123847680,2013-04-18 12:17:57,"""Just Married"" - Or is it just a ploy? http://t.co/OJvi2LEzWz"
324778720793612288,2013-04-18 06:57:35,"""Poland for the Poles - stay here to build a better futu… http://t.co/gxPXCOYPiJ"
324055967899713536,2013-04-16 07:05:38,Was Anglican Mainstream advert ban judgment right? http://t.co/MIQsNP2HQO
317568938869395457,2013-03-29 09:28:29,World at 8 - Friday 22nd March 2013 http://t.co/eX6VqilrUU cc @nickgriffinmep
313929032779567104,2013-03-19 08:24:48,RT @AEMN_it: @brunogollnisch intervento dinanzi alla commissione per gli affari costituzionali http://t.co/zq80SpMNtH #AEMN
312988223519465473,2013-03-16 18:06:22,RT @AEMN_fr: Intervention de @brunogollnisch devant la commission des affaires constitutionnelles du Parlement européen #AFCO http://t.c ...
