id,created_at,text
661553259644080128,2015-11-03 14:39:22,"Our MEPs @petervdalen, @marekjurek &amp; @Arne_Gericke are in Pakistan. On the agenda: #blasphemy laws, #AsiaBibi &amp; more https://t.co/eNP9bg5hsE"
661506427765280768,2015-11-03 11:33:17,RT @JLbankingblog: 2 December I am giving a talk about my bankers' book for financially interested MEPs. Brussels. https://t.co/SkTsXtSxat
661492263437103104,2015-11-03 10:37:00,"Conference with @jorisluyendijk in EP: ""The #banking sector &amp; the need for #morality above legality"". Register now: https://t.co/CTbAJA9uIQ"
661159412497825792,2015-11-02 12:34:22,"#ECPM members join relaunch Human Dignity Working Group #EP: ""Human #dignity should be leading in #EU policy again"" https://t.co/daKOZ8hLYS"
654598025306853376,2015-10-15 10:01:45,RT @Care_for_Europe: Many #Europarl_EN members shocked by revelation of state funded #abortion &amp; #Sellingbabyparts by @LilaGraceRose #Truth…
654324355481120768,2015-10-14 15:54:17,Our view on the current problem of mass immigration: http://t.co/7vKgoy0MCE
647391367132540929,2015-09-25 12:45:04,Our MEP's @Beatrix_vStorch @Arne_Gericke @BranoSkripek questioned the presence of IPPF in the European Parliament: http://t.co/nDfOlrIIgb
640825936544428032,2015-09-07 09:56:23,We envision an EU that focuses on common challenges instead of constantly trying to prescribe national legislation: http://t.co/9opc5E4i2s
633928939031908353,2015-08-19 09:10:11,It is time to really deal with the situation in Calais. Where is the leadership to solve this problem? @petervdalen http://t.co/FaU0RSc0N8
621607153602830336,2015-07-16 09:07:48,RT @leovandoesburg: @petervdalen and the representative of the Dutch and the chairman of the European Parliamentarian fishery committees ht…
617988031618936832,2015-07-06 09:26:43,It is time to accept the European reality and base decisions on this and not on wishful thinking #Greece http://t.co/n0O2a0Dgbb
615486815819157504,2015-06-29 11:47:46,Recent terrorist attacks demand a very concrete response in Syria: http://t.co/tgOaEvnmMt
611510578817957888,2015-06-18 12:27:37,"Our position on Greece, the euro and #grexit http://t.co/cfRNrveDVV"
608206090845749249,2015-06-09 09:36:46,The @Europarl_EN will vote soon on the #noichlreport. ECPM has serious concerns about this controversial report http://t.co/uWPKG5ZJ3H
608175685706911744,2015-06-09 07:35:57,ECPM is serious concerned about the controversial #noichlreport http://t.co/uWPKG5ZJ3H #forherfuture
607874097033441280,2015-06-08 11:37:33,ECPM members adopted this resolution on illegal immigration to Europe during the General Assembly in Germany: http://t.co/qDU07fVy5Y
606433564746514432,2015-06-04 12:13:23,EP Intergroup on FoRB &amp; RT published 1st Annual Report on State of Freedom of Religion or Belief: http://t.co/X8QWq8NacV
606113047216816129,2015-06-03 14:59:46,"Pictures of our European Summit in Seeon, Germany are now online: https://t.co/3DICU2NnfF http://t.co/uFrqeHmcya"
605325503369752577,2015-06-01 10:50:21,This Wednesday 03/06 13:30u PHS 3C50 #EP presentation of the Intergroup Religious Freedom with @USCIRF @petervdalen  http://t.co/9DkRUikCY2
601020746127843330,2015-05-20 13:44:46,An Open Letter to @MartinSchulz from our MEP's @Beatrix_vStorch @BranoSkripek @Arne_Gericke @marekjurek http://t.co/7ANt6H8nTY
593011583850291201,2015-04-28 11:19:13,"Last week we published a statement on the Armenian genocide, you can read it here: http://t.co/oneu4yMJJZ"
581445707430780928,2015-03-27 13:20:34,"Do we see ""Life"" as something that is given or as something we can engineer ourselves? Conference with @BranoSkripek http://t.co/SUSxUBKmUK"
578495958075473920,2015-03-19 09:59:18,Congratulations to @christenunie and @SGPnieuws for a great election result in yesterday's provincial elections!
575964546055041024,2015-03-12 10:20:23,We hope to see @Beatrix_vStorch @BranoSkripek @BasBelderMEP @petervdalen &amp; @marekjurek as well at our GA #ECPMGA2015 http://t.co/TzmyQ5tugn
575963125196808193,2015-03-12 10:14:44,"Together with @Arne_Gericke we invite you to our European Summit on Business, Family &amp; Economics and our annual GA http://t.co/TzmyQ5tugn"
567350461771284480,2015-02-16 15:51:05,We're shocked about the latest extremist killings inside and outside Europe http://t.co/npi0Bq1vxi
562628078795763712,2015-02-03 15:06:01,RT @CitizenGO: Please sign this petition to stop #UK proposals to create 3-parent embryos!:  http://t.co/56h7epwq78  #prolife http://t.co/r…
562627928270581760,2015-02-03 15:05:25,RT @CConcern: #3parentbabies are now being discussed in the @HouseofCommons please pray that MP's will speak against the proposals as well …
562606786675736576,2015-02-03 13:41:25,"Slovakia votes on marriage, adoption &amp; sexual education this Saturday, help ECPM &amp; @BranoSkripek to create awareness! http://t.co/0r9a0CSewQ"
560768366894657536,2015-01-29 11:56:11,@petervdalen @BranoSkripek @Beatrix_vStorch @Arne_Gericke @marekjurek are disturbed by joyful promotion of abortion: http://t.co/NWUDIBelVf
556114482574151680,2015-01-16 15:43:19,Stop the relaunching of the Estrela report! Sign the petition! http://t.co/5o9NAiT7qD
553143161347121152,2015-01-08 10:56:21,"RT @ecrgroup: #JeSuisCharlie, Minute of silence @Europarl_EN  @Charlie_Hebdo_ http://t.co/UEQLA05Knu"
553142769825632257,2015-01-08 10:54:47,We are deeply shocked. Our thoughts and prayers are with the victims and their beloved ones #CharlieHebdo http://t.co/BtOSIJNlaP
540477505162203136,2014-12-04 12:07:33,Many thanks to our speakers  &amp; @BranoSkripek for hosting yesterday's event on Values for Europe in times of conflict http://t.co/mkM3XeW5vh
539414214537134081,2014-12-01 13:42:25,"RT @gertjansegers: Mooi! CU/SGP-motie aangenomen die een onafhankelijk, Europees onderzoek wil naar de relatie tussen prostitutiebeleid en …"
539413415719358465,2014-12-01 13:39:14,"RT @LizzieBettySL: @David_Cameron, @PHammondMP &amp; @Gov_Pakistan: Overturn Asia Bibi's death sentence #saveAsiaBibi https://t.co/a2yr7ZTEhj v…"
537569304053813248,2014-11-26 11:31:24,"RT @leovandoesburg: ""We protect the right to be born and want to protect the dignity of the unborn children"" MEP Marek Jurek at the press c…"
537564143570939904,2014-11-26 11:10:53,RT @petervdalen: #OneofUs blijft in #EU opkomen voor het ongeboren leven als internationale werkgroep @npvzorgnl @ECPM_official http://t.co…
535841097038450688,2014-11-21 17:04:07,Join us to celebrate the 25th anniversary of the international year of the family! @Arne_Gericke  @Care_for_Europe http://t.co/9zUQriinEl
533602568396877824,2014-11-15 12:49:00,We are hosting a meeting on family &amp; education with our Croatian partner Hrast.  @jetweigand is one of the speakers. http://t.co/JnAfuINvgJ
532843161094483968,2014-11-13 10:31:24,RT @leovandoesburg: Speaking at the meeting:palliative care organized by @BranoSkripek  @BasBelderMEP in the European Parliament http://t.c…
532842899734822912,2014-11-13 10:30:21,"RT @LukasRadbruch: Antoni Montserrat (Dep Public Health of the European Commission): palliative care is a human right, this should be put i…"
532193409138974720,2014-11-11 15:29:31,On 19 November @CPFE_official &amp; @BranoSkripek introduce a unique common declaration on protecting minorities in Iraq! http://t.co/DTEsTmh12H
529259681307320321,2014-11-03 13:11:55,Together with the Interparliamentary Assembly on Orthodoxy @petervdalen &amp; @leovandoesburg promote freedom of religion http://t.co/gcTUDxFXgW
527780729443586048,2014-10-30 11:15:06,Questionable surveys should not define EU policy: http://t.co/x9ppa1uS76
527456887890276352,2014-10-29 13:48:16,Register now for our conference on palliative care on November 12 hosted by @BasBelderMEP @BranoSkripek http://t.co/cGnEg3kcvB
526009653743067137,2014-10-25 13:57:28,@BranoSkripek just got elected as Board member of ECPM. Congratulations! http://t.co/lsGIAvg7vr
525943466032128000,2014-10-25 09:34:28,After this panel discussion with @BranoSkripek @Arne_Gericke @pjostman we will start our General Assembly http://t.co/obuyq2fOzv
524870878010814464,2014-10-22 10:32:23,What we expect of the new @EU_Commission: http://t.co/dluzwH9FpF @petervdalen @BasBelderMEP @Beatrix_vStorch @Arne_Gericke @BranoSkripek
524581341439197184,2014-10-21 15:21:52,"RT @leovandoesburg: The Northern Ireland Assembly has voted  Lord Morrow's bill by 81 to 10 in favour of making it a crime to pay for sex
h…"
523420022979715072,2014-10-18 10:27:12,Very happy to see our Dutch member party @christenunie @gertjansegers taking the lead in fighting human trafficking! http://t.co/rEsU8rLJbA
523088448287412224,2014-10-17 12:29:39,We're pleased to announce that the ECPM Board has proposed @BranoSkripek as new Board member! http://t.co/mqOde7qJOw
523087658478993408,2014-10-17 12:26:30,RT @SGPindemedia: ChristenUnie en SGP willen actie van EU-leiders en paus Franciscus voor Asia Bibi http://t.co/6L4enaxYrc #SGP
519826294058790913,2014-10-08 12:27:01,EP misses out on an opportunity to speak out for freedom of religion http://t.co/bhZdFOrv83
519506103915540481,2014-10-07 15:14:41,RT @leovandoesburg: About the ECI #OneofUs: powerful lobby of interest groups win over 2 million European Citizens. #Timmermans http://t.co…
519491454256050176,2014-10-07 14:16:29,One of Us was not rejected because it was beyond the competence of the EC but because of political reasons #timmermans #EPhearings2014
519490870517985280,2014-10-07 14:14:09,RT @leovandoesburg: Right question of @BranoSkripek about ECI #OneofUs. Answer of #timmermans was strange:it was not within the competence …
519484830778937346,2014-10-07 13:50:09,RT @BranoSkripek: #Timmermanns just said he is Catholic and stands on judeo-christian values.I wonder how does he answer my #oneofus questi…
519473878616514560,2014-10-07 13:06:38,"ECPM MEP @petervdalen asks #Timmermans: ""Which measures will you take to make Europe an inspiration instead of an irritation?"""
517295307751972864,2014-10-01 12:49:46,RT @thames22: Good meeting with @petervdalen about ways to increase transatlantic cooperation to promote religious freedom for all. http://…
512968272892149760,2014-09-19 14:15:41,ECPM MEP's support Christians in the Middle East http://t.co/bORqAw751X @petervdalen @Arne_Gericke @Beatrix_vStorch @BranoSkripek
512950586158116864,2014-09-19 13:05:24,RT @Arne_Gericke: #ebola braucht starke Antwort der #EU. Frau @Bundeskanzlerin. Handeln Sie. Jetzt. Europäisch!  http://t.co/58aFGdCOtU @ge…
512634245010178049,2014-09-18 16:08:22,Register now for the ECPM Conference and GA on 24/25 October in Bratislava! http://t.co/KqljTio2EV
512603266426077184,2014-09-18 14:05:17,"RT @BranoSkripek: Freedom of religion must be applied to all groups, Christians included http://t.co/aKSmhf5DVU #ep"
512600642087841792,2014-09-18 13:54:51,RT @CPFE_official: #EUES2014 current #Western atitude towards #Christianity : #Christophobia - #irrational fear of everything that looks li…
512600300021362689,2014-09-18 13:53:29,RT @CPFE_official: The Christian alternative is: #Generosity #Humility #Peace #Serving. two ways of doing business #EUES2014
503973132190093313,2014-08-25 18:32:12,RT @jcmeinen: @ECPM_official PLRT @CPFE_official #Sale #book #AfterCapitalism #Christian #Perspective on #economic #relationships http://t.…
497463558696075264,2014-08-07 19:25:29,"Call on the EU and UN: Help the minorities in Iraq and work together with Kurdistan
http://t.co/Yg3miVbR9R"
497365908621651968,2014-08-07 12:57:27,ECPM is concerned about the fate of thousands of Christians. http://t.co/A4KuqLYHFg
481787176930537472,2014-06-25 13:13:08,"ECPM welcomes Kiev’s effort to stop violence 
http://t.co/jSkK2dTIfm"
478892106296360961,2014-06-17 13:29:10,"ECPM MEP @EurofractieSGP Belder joins @ecrgroup 
http://t.co/JuVVQtj5AL"
478890501798891521,2014-06-17 13:22:47,RT @ecrgroup: ECR formally accepts application by @EurofractieSGP MEP Bas Belder. Welcome to him! 64 MEPs in the group now.
477764588164104192,2014-06-14 10:48:48,Around one million Europeans voted for ECPM candidates and their parties!
477750464994615296,2014-06-14 09:52:41,"RT @pjostman: Budapest, Hungary at ECPM board. Interesting question is: could Finnish PMI Katainen be an alternative to Juncker and accepte…"
477750403543871488,2014-06-14 09:52:27,ECPM board analyzing the election results http://t.co/aVEYzt7Li3
